epoch,bce,kld,total
614,943.58554,85.953878,1029.539418
615,944.385123,86.004432,1030.389555
616,942.303746,85.791222,1028.094968
617,941.639582,85.908052,1027.547633
618,942.43182,85.837706,1028.269525
619,941.879144,85.822353,1027.701498
620,943.898211,86.012235,1029.910446
621,942.017263,85.891135,1027.908399
622,941.673439,85.957133,1027.630572
623,940.965525,85.787891,1026.753417
624,941.089938,86.081795,1027.171733
625,941.753969,85.977926,1027.731895
626,942.648349,86.056098,1028.704447
627,942.037387,85.983084,1028.020471
628,941.060543,85.935516,1026.996059
629,941.575756,85.821828,1027.397584
630,940.677766,85.893549,1026.571315
631,941.213225,86.065011,1027.278237
632,940.96404,85.854888,1026.818928
633,940.485968,85.825633,1026.311601
634,940.421213,85.87857,1026.299783
635,943.329358,86.155653,1029.485011
636,942.859515,85.818289,1028.677804
637,941.001283,85.896237,1026.89752
638,941.449045,85.781508,1027.230553
639,939.682667,85.84485,1025.527517
640,940.307148,86.157514,1026.464663
641,942.157015,86.017587,1028.174602
642,941.938979,85.961522,1027.900502
643,941.649265,86.180436,1027.8297
644,940.264023,85.935618,1026.199641
645,939.990998,86.040898,1026.031896
646,940.121484,86.069857,1026.191341
647,941.120751,86.094106,1027.214857
648,941.01653,86.007652,1027.024182
649,939.733819,85.907651,1025.64147
650,940.163669,85.952772,1026.116441
651,939.454865,85.981573,1025.436439
652,938.987732,86.131444,1025.119176
653,939.79801,85.697528,1025.495539
654,941.117572,86.016872,1027.134444
655,940.106241,85.989143,1026.095383
656,940.630583,86.175911,1026.806494
657,938.988314,85.983119,1024.971433
658,938.646465,85.943777,1024.590242
659,939.176361,86.083298,1025.259659
660,939.358323,85.941506,1025.299829
661,939.601998,86.066807,1025.668805
662,939.376844,85.89456,1025.271404
663,939.688655,85.877297,1025.565952
664,939.407374,86.027053,1025.434427
665,938.846604,86.067831,1024.914435
666,938.05553,85.992799,1024.048329
667,940.546773,86.007177,1026.55395
668,940.231029,86.133823,1026.364853
669,941.167126,85.949906,1027.117033
670,939.4597,85.982752,1025.442452
671,939.848494,85.88234,1025.730833
672,938.833649,85.900259,1024.733909
673,938.327673,85.953486,1024.281159
674,938.475785,86.098323,1024.574108
675,938.876714,85.989045,1024.865758
676,938.938873,85.960564,1024.899437
677,939.56595,85.922994,1025.488944
678,938.096804,86.127992,1024.224796
679,939.857165,86.375304,1026.23247
680,940.416131,86.240088,1026.656219
681,938.956942,85.888663,1024.845605
682,938.184874,86.161545,1024.346419
683,937.810883,85.945623,1023.756507
684,938.878548,85.969192,1024.847739
685,938.630721,86.072976,1024.703697
686,938.784017,86.127641,1024.911658
687,938.254842,85.828898,1024.083741
